customer_id|name|email|country
C100000|Allison Hill|jillrhodes@miller.com|Djibouti
C100001|Alyssa Gonzalez|shaneramirez@gmail.com|Senegal
C100002|Melissa Peterson|susanrogers@james.com|Netherlands Antilles
C100003|Andrew Stevens|smiller@montgomery.com|Aruba
C100004|Patricia Galloway|jamesshawn@martin-kelly.com|Reunion
C100005|Maria Lynch|frankgray@watts.com|Denmark
C100006|Renee Morales|robinbradley@edwards.info|Cambodia
C100007|David Hoffman|zhurst@yahoo.com|Cyprus
C100008|Brenda Snyder PhD|courtneyconner@carlson-cruz.org|Lao People's Democratic Republic
C100009|Tricia Valencia|maldonadoamanda@mack-peterson.com|Jordan
C100010|Aaron Bowen|williamrodriguez@hotmail.com|French Southern Territories
C100011|Katie Gonzalez|amberosborne@hotmail.com|Uruguay
C100012|Fred Smith|john39@gmail.com|Belize
C100013|Rose Spence|donnaarroyo@baker.biz|Croatia
C100014|Nicole Vaughn|pcarney@yahoo.com|Kazakhstan
C100015|Jocelyn Wright|andrew83@robinson.com|Bangladesh
C100016|Shannon Jones|elizabeth38@cummings.org|Lebanon
C100017|John Russell|hopkinsmichael@owens-daniel.com|Bahamas
C100018|Gerald Hensley|jameswest@white-ford.com|Kenya
C100019|Savannah Garcia|housemelinda@russell.com|Tonga
C100020|Anthony Gray|sara74@yahoo.com|Qatar
C100021|Whitney Peters|jamesrobinson@gmail.com|Morocco
C100022|Amy Edwards|hshaw@brown.com|Thailand
C100023|Kurt Leonard|kwilson@riley.org|Belgium
C100024|Kevin Mills|elizabethedwards@yahoo.com|Indonesia
C100025|Matthew Bryant|ellisyolanda@jones.net|Estonia
C100026|Gregory Jones|justin78@turner.net|Algeria
C100027|Kristen Huynh|josephpreston@tran.com|Costa Rica
C100028|Sarah Wagner|davisrodney@yahoo.com|Aruba
C100029|Ray Walsh|joycearnold@yahoo.com|Moldova
C100030|Benjamin Ware|davenportbrandi@jordan.com|Haiti
C100031|Rebecca Valencia|evelynestrada@yahoo.com|Slovakia (Slovak Republic)
C100032|Shelly Dickson|michellecherry@keith.com|Saint Pierre and Miquelon
C100033|Rachel Jenkins|erik16@garrison.com|Svalbard & Jan Mayen Islands
C100034|Hannah Hoover|andrewlee@ramirez-jones.com|Guernsey
C100035|Jennifer Zavala|wilsontara@gmail.com|Morocco
C100036|Deborah Rodriguez|jessica56@hotmail.com|Madagascar
C100037|Steven Lee|zsmith@mcdaniel.com|Haiti
C100038|Travis Mccall|cortezkevin@yahoo.com|Papua New Guinea
C100039|James Phillips|robertbentley@adkins.biz|Mayotte
C100040|Elizabeth Clark|rramos@gmail.com|Madagascar
C100041|Steven Flynn|campbellelizabeth@rogers.com|Czech Republic
C100042|Brittany Williams|gibsonolivia@hotmail.com|Congo
C100043|Janet Ross|staffordmichelle@osborne.com|Spain
C100044|Kelly Williams|bryantlaurie@schmidt.info|New Caledonia
C100045|Stephanie Simmons|juliawells@yahoo.com|Sao Tome and Principe
C100046|Mark Cannon|joshuajones@yahoo.com|Dominica
C100047|Francisco Fernandez|jessebenson@lewis.info|Israel
C100048|Ross Price|wwoods@molina-castaneda.biz|Martinique
C100049|Kimberly Morrison|brobinson@johnson-rogers.biz|Saint Kitts and Nevis
C100050|John Anderson|qvargas@miller.com|Tonga
C100051|Anthony Gray|wmurphy@ramirez-bean.biz|El Salvador
C100052|Julie Curry|jeffrey10@herring.com|Niger
C100053|Cameron Caldwell|xlyons@jackson-lawson.com|Slovakia (Slovak Republic)
C100054|Traci Rodriguez|barbara66@gonzalez.com|Bosnia and Herzegovina
C100055|Elizabeth Sutton|reedross@jones-holland.com|Thailand
C100056|John Hamilton|bzimmerman@gmail.com|Saint Martin
C100057|Marie Gilbert|ugraham@hotmail.com|Ethiopia
C100058|David Michael|dsanchez@hotmail.com|New Caledonia
C100059|Gabrielle Snyder|tonykelly@yahoo.com|Guam
C100060|Kyle Beard|christophercortez@peters-allen.info|Oman
C100061|Joan Smith|richardsanchez@hotmail.com|Morocco
